question|Qtype
What is the capital of India?|fact
Who built the Taj Mahal?|fact
Why is India culturally diverse?|analytical
How does geography affect culture?|analytical
Which is the largest state?|mcq
What is the national animal of India?|fact
Who is known as the Father of the Nation?|fact
Why do monsoons occur in India?|analytical
How does population growth impact resources?|analytical
Which river is the longest in India?|mcq
What is the currency of India?|fact
Who wrote the national anthem?|fact
Why is the Himalaya important?|analytical
How does education influence society?|analytical
Which city is known as Silicon Valley of India?|mcq
What is the national flower of India?|fact
Who was the first Prime Minister of India?|fact
Why is agriculture important to India?|analytical
How does climate change affect India?|analytical
Which is the smallest state in India?|mcq
What is the national bird of India?|fact
Who discovered India’s sea route?|fact
Why is democracy important?|analytical
How does urbanization impact environment?|analytical
Which is the highest mountain peak in India?|mcq
What is the official language of India?|fact
Who is the current President of India?|fact
Why is water conservation necessary?|analytical
How does technology impact communication?|analytical
Which is the largest desert in India?|mcq
What is the literacy rate of India?|fact
Who was Mahatma Gandhi?|fact
Why are forests important?|analytical
How does globalization affect culture?|analytical
Which state produces the most rice?|mcq
What is the national sport of India?|fact
Who invented zero?|fact
Why is renewable energy important?|analytical
How does pollution affect health?|analytical
Which city is called the Pink City?|mcq
What is GDP?|fact
Who was Dr. B.R. Ambedkar?|fact
Why do earthquakes occur?|analytical
How does inflation affect economy?|analytical
Which is the longest river in the world?|mcq
What is democracy?|fact
Who was Subhas Chandra Bose?|fact
Why is biodiversity important?|analytical
How does deforestation affect climate?|analytical
Which country has the largest population?|mcq
What is photosynthesis?|fact
Who invented the telephone?|fact
Why do seasons change?|analytical
How does education reduce poverty?|analytical
Which is the coldest place in India?|mcq
What is the speed of light?|fact
Who discovered gravity?|fact
Why is the ozone layer important?|analytical
How does internet impact learning?|analytical
Which is the tallest building in the world?|mcq
What is artificial intelligence?|fact
Who is known as the Missile Man of India?|fact
Why is data important in decision making?|analytical
How does social media influence behavior?|analytical
Which is the largest ocean?|mcq
What is machine learning?|fact
Who founded Microsoft?|fact
Why is cybersecurity important?|analytical
How does automation affect jobs?|analytical
Which is the fastest animal?|mcq
What is cloud computing?|fact
Who invented the computer?|fact
Why is privacy important?|analytical
How does big data help businesses?|analytical
Which is the smallest continent?|mcq
What is blockchain?|fact
Who is Elon Musk?|fact
Why is space exploration important?|analytical
How does satellites help communication?|analytical
Which is the hottest planet?|mcq
What is gravity?|fact
Who discovered penicillin?|fact
Why is vaccination important?|analytical
How does exercise improve health?|analytical
Which organ pumps blood?|mcq
What is DNA?|fact
Who developed theory of relativity?|fact
Why is sleep important?|analytical
How does diet affect health?|analytical
Which is the largest organ in human body?|mcq
What is ecosystem?|fact
Who is Charles Darwin?|fact
Why is conservation important?|analytical
How does pollution affect oceans?|analytical
Which gas is most abundant in atmosphere?|mcq
What is evolution?|fact
Who invented electricity?|fact
Why is recycling important?|analytical
How does climate affect agriculture?|analytical
Which planet is closest to the sun?|mcq
What is renewable energy?|fact
Who is Isaac Newton?|fact
Why is science important?|analytical
How does innovation drive growth?|analytical
Which country is known as Land of Rising Sun?|mcq