question|level
What is the capital of India?|Easy
Who built the Taj Mahal?|Easy
What is water made of?|Easy
What is the largest planet?|Easy
What is 2 plus 2?|Easy
Who is the president of India?|Easy
What is the boiling point of water?|Easy
What is the national animal of India?|Easy
What is the color of the sky?|Easy
What is the square root of 16?|Easy
Who discovered gravity?|Easy
What is the currency of India?|Easy
What is the tallest mountain?|Easy
What is the smallest prime number?|Easy
What is the speed of light?|Easy
What is the largest ocean?|Easy
Who wrote Ramayana?|Easy
What is H2O?|Easy
What is the capital of France?|Easy
What is 5 times 5?|Easy
What is photosynthesis?|Medium
Why is India diverse?|Medium
How does gravity work?|Medium
What causes rainfall?|Medium
How do plants grow?|Medium
Why do we need oxygen?|Medium
How does the internet work?|Medium
Why is the sky blue?|Medium
How does digestion work?|Medium
What causes earthquakes?|Medium
Why do seasons change?|Medium
How does electricity flow?|Medium
Why do we sleep?|Medium
What causes pollution?|Medium
How do airplanes fly?|Medium
Why is water important?|Medium
How does the heart function?|Medium
What causes global warming?|Medium
Why do objects fall?|Medium
How do magnets work?|Medium
Explain the importance of education|Hard
Describe the impact of globalization|Hard
Explain climate change effects|Hard
Discuss economic development factors|Hard
Explain cultural diversity in India|Hard
Analyze causes of World War 2|Hard
Explain industrial revolution impact|Hard
Discuss environmental conservation|Hard
Explain importance of democracy|Hard
Analyze population growth effects|Hard
Explain renewable energy sources|Hard
Discuss role of technology in society|Hard
Explain human evolution theory|Hard
Analyze causes of poverty|Hard
Explain artificial intelligence applications|Hard
Discuss importance of biodiversity|Hard
Explain globalization advantages|Hard
Analyze economic inequality|Hard
Explain digital transformation impact|Hard
Discuss sustainable development|Hard
What is the capital of Japan?|Easy
Who invented the telephone?|Easy
What is 10 divided by 2?|Easy
What is the national flower of India?|Easy
What is the freezing point of water?|Easy
What is the largest continent?|Easy
Who wrote Mahabharata?|Easy
What is 9 minus 3?|Easy
What is the main gas in air?|Easy
What is the sun?|Easy
Why do plants need sunlight?|Medium
How does a computer work?|Medium
Why do we breathe?|Medium
What causes wind?|Medium
How do birds fly?|Medium
Why is education important?|Medium
How does a battery work?|Medium
Why do we need food?|Medium
What causes tides?|Medium
How does sound travel?|Medium
Explain importance of science|Hard
Discuss role of education in society|Hard
Explain effects of pollution|Hard
Analyze climate change causes|Hard
Explain importance of internet|Hard
Discuss globalization challenges|Hard
Explain urbanization effects|Hard
Analyze role of government|Hard
Explain technological advancement|Hard
Discuss economic policies|Hard
What is a computer?|Easy
Who discovered electricity?|Easy
What is 7 plus 3?|Easy
What is a river?|Easy
What is a mountain?|Easy
What is the Earth?|Easy
What is a tree?|Easy
What is a book?|Easy
What is the moon?|Easy
What is the sun made of?|Easy
Why is water essential?|Medium
How does a mobile phone work?|Medium
Why do we exercise?|Medium
What causes disease?|Medium
How do vaccines work?|Medium
Why is sleep important?|Medium
What causes stress?|Medium
How do engines work?|Medium
Why do we study history?|Medium
How does memory work?|Medium
Explain human brain function|Hard
Discuss importance of health care|Hard
Explain scientific research methods|Hard
Analyze environmental issues|Hard
Explain economic growth factors|Hard
Discuss technological innovation|Hard
Explain social inequality|Hard
Analyze political systems|Hard
Explain industrial growth|Hard
Discuss modern education systems|Hard
What is oxygen?|Easy
Who is a scientist?|Easy
What is 6 times 2?|Easy
What is a country?|Easy
What is a city?|Easy
What is a village?|Easy
What is a school?|Easy
What is a teacher?|Easy
What is a student?|Easy
What is learning?|Easy
Why do we learn?|Medium
How do machines work?|Medium
Why is science important?|Medium
What causes lightning?|Medium
How does light travel?|Medium
Why is math important?|Medium
What causes noise?|Medium
How do robots work?|Medium
Why do we use computers?|Medium
How does AI work?|Medium
Explain machine learning concepts|Hard
Discuss artificial intelligence ethics|Hard
Explain data science importance|Hard
Analyze digital economy|Hard
Explain cybersecurity challenges|Hard
Discuss future of technology|Hard
Explain automation impact|Hard
Analyze big data applications|Hard
Explain cloud computing|Hard
Discuss AI in healthcare|Hard