question|topic
What is the capital of India?|Geography
What is the largest continent?|Geography
What is the longest river in the world?|Geography
What is a desert?|Geography
What is the climate of India?|Geography
What is a mountain?|Geography
What is a river?|Geography
What is a plateau?|Geography
What is a valley?|Geography
What is the Earth's surface made of?|Geography
Why is India diverse?|Geography
How does geography affect climate?|Geography
What causes rainfall?|Geography
Why do seasons change?|Geography
How do rivers form?|Geography
What causes earthquakes?|Geography
How do volcanoes erupt?|Geography
Why are oceans important?|Geography
How does climate change affect Earth?|Geography
What is global warming?|Geography
Explain the importance of natural resources|Geography
Describe the water cycle|Geography
Explain types of soil|Geography
Discuss environmental conservation|Geography
Analyze the impact of deforestation|Geography
Who built the Taj Mahal?|History
Who was Mahatma Gandhi?|History
What is the Indus Valley Civilization?|History
Who was Ashoka?|History
What is the Mughal Empire?|History
Who was Akbar?|History
What is the French Revolution?|History
Who discovered America?|History
What is World War 1?|History
What is World War 2?|History
Why did World War 2 happen?|History
How did India gain independence?|History
Why was the freedom struggle important?|History
What caused the French Revolution?|History
How did ancient civilizations develop?|History
Why did empires rise and fall?|History
What was the role of kings?|History
How did trade influence history?|History
What caused wars?|History
Why is history important?|History
Explain the causes of World War 2|History
Discuss the impact of British rule in India|History
Analyze the rise of civilizations|History
Explain the importance of independence|History
Discuss historical events and their effects|History
What is gravity?|Science
What is photosynthesis?|Science
What is energy?|Science
What is matter?|Science
What is an atom?|Science
What is a molecule?|Science
What is electricity?|Science
What is force?|Science
What is motion?|Science
What is light?|Science
Why is the sky blue?|Science
How does gravity work?|Science
Why do we breathe?|Science
How does the human body function?|Science
What causes diseases?|Science
Why do plants need sunlight?|Science
How does digestion work?|Science
What causes sound?|Science
How does heat transfer?|Science
Why is water important?|Science
Explain the process of photosynthesis|Science
Discuss the importance of energy|Science
Analyze the human body systems|Science
Explain scientific discoveries|Science
Discuss environmental science concepts|Science
What is a computer?|Technology
What is artificial intelligence?|Technology
What is machine learning?|Technology
What is data science?|Technology
What is the internet?|Technology
What is a mobile phone?|Technology
What is software?|Technology
What is hardware?|Technology
What is a program?|Technology
What is coding?|Technology
How does a computer work?|Technology
How does the internet function?|Technology
Why is AI important?|Technology
How do machines learn?|Technology
What is automation?|Technology
Why is cybersecurity important?|Technology
How does cloud computing work?|Technology
What is big data?|Technology
Why do we use computers?|Technology
How do robots work?|Technology
Explain artificial intelligence applications|Technology
Discuss the future of technology|Technology
Analyze digital transformation|Technology
Explain cybersecurity challenges|Technology
Discuss the impact of automation|Technology
What is education?|General
What is learning?|General
What is knowledge?|General
What is society?|General
What is culture?|General
What is economy?|General
What is development?|General
What is communication?|General
What is leadership?|General
What is teamwork?|General
Why is education important?|General
Why do we learn?|General
How does communication help society?|General
Why is teamwork important?|General
How does culture influence society?|General
Why is leadership important?|General
What is social responsibility?|General
Why is knowledge important?|General
How do people interact?|General
What is personal development?|General
Explain the importance of education|General
Discuss the role of society|General
Analyze communication skills|General
Explain leadership qualities|General
Discuss cultural values|General